label,nominal,actual_thickness_in,actual_width_in,length_in,treatment,sku_lowes,url_lowes,sku_hd,url_hd,sku_notes
2x12x144,2x12,1.5,11.25,144,SPF,47736,"https://www.lowes.com/pd/2-in-x-12-in-x-12-ft-Standard/1000220443",100086488,"https://www.homedepot.com/p/2-in-x-12-in-x-12-ft-Prime-Whitewood-Lumber-100086488/100007970","SKUs/URLs may vary by region; verify before ordering."
2x12x192,2x12,1.5,11.25,192,SPF,47736,"https://www.lowes.com/pd/2-in-x-12-in-x-16-ft-Standard/1000220445",100086492,"https://www.homedepot.com/p/2-in-x-12-in-x-16-ft-Prime-Whitewood-Lumber-100086492/100007971","SKUs/URLs may vary by region; verify before ordering."
2x12x96_PT,2x12,1.5,11.25,96,PT,1027,"https://www.lowes.com/pd/2-in-x-12-in-x-8-ft-2-Pressure-Treated-Lumber/1000064975",100086500,"https://www.homedepot.com/p/2-in-x-12-in-x-8-ft-Pressure-Treated-Lumber-100086500/100047290","SKUs/URLs may vary by region; verify before ordering."
panel_advantech_4x8,4x8_panel,0.75,48,96,Advantech,TBD,TBD,,,,
hanger_LU210,hardware_lu210,0.06,3.0,12.0,Hardware,LU210,"https://www.strongtie.com/facemounthangersssl_lsseriesluproductgroup/lu_base/product","",,"Simpson LU210 face-mount hanger (approx dims; verify region/SKU)"
plywood_0.5x4x8,4x8_panel,0.5,48,96,Sheathing,TBD,TBD,,,,"Generic 1/2\" plywood 4x8 sheet; used for header rip consolidation"
ply_rip_0.5x11.25x93,ply_rip,0.5,11.25,93,Sheathing,TBD,TBD,,,,"Ripped 1/2\" ply 11.25\" x 93\" for header sandwich"
hurricane_tie_H2.5A,hardware_hurricane,0.06,1.6,5.0,Hardware,H2.5A,"https://www.strongtie.com/hiprooftrussclipshurricaneclips_connectors/h1_h2.5a/product","",,"Simpson H2.5A hurricane tie (handed; typical rafter-to-plate tie)"
hurricane_tie_H1,hardware_hurricane,0.06,1.6,3.5,Hardware,H1,"https://www.strongtie.com/hiprooftrussclipshurricaneclips_connectors/h1_h2.5a/product","",,"Simpson H1 hurricane tie (use on gable/ladder framing as needed)"
strap_LSTA12,hardware_strap,0.05,1.25,12.0,Hardware,LSTA12,"https://www.strongtie.com/rolltiedstraps_straightstraps/lst/product","",,"Simpson LSTA12 light strap (optional ceiling/rafter continuity tie)"
strap_LSTA18,hardware_strap,0.05,1.25,18.0,Hardware,LSTA18,"https://www.strongtie.com/rolltiedstraps_straightstraps/lst/product","",,"Simpson LSTA18 light strap (longer optional tie/drag)"
deckboard_5_4x6x192_PT,deck,1.0,5.5,192,PT,TBD,TBD,,,,"5/4x6x16' deck board, PT; add SKU/URL when selected (placeholder)"
post_6x6x96_PT,6x6,5.5,5.5,96,PT,TBD,TBD,,,,"6x6x8' PT post for deck/porch support (placeholder SKU)"
post_6x6x120_PT,6x6,5.5,5.5,120,PT,TBD,TBD,,,,"6x6x10' PT post for deck/porch support (placeholder SKU)"
post_6x6x144_PT,6x6,5.5,5.5,144,PT,TBD,TBD,,,,"6x6x12' PT post for deck/porch support (placeholder SKU)"
sill_seal_0.5x5.5x600,sill_seal,0.5,5.5,600,Foam,100086507,"https://www.homedepot.com/p/Frost-King-E-O-5-5-in-x-50-ft-Polyethylene-Foam-Sill-Sealer-SP55H/100086507",TBD,,"Closed-cell foam sill seal 1/2\"x5.5\"x50' roll; cut to length for pile penetrations"
rebar_0.5x240,rebar,0.5,0.5,240,Steel,202091508,"https://www.homedepot.com/p/1-2-in-x-20-ft-Rebar-202091508/202091508",TBD,,"#4 rebar (1/2\" diameter) 20' lengths for concrete slab reinforcement (Grade 60)"
