predecessor_code,successor_code,dependency_type,lag_days,notes
2.1.1,2.1.2,FS,0,Seq within parent
2.1.2,2.1.3,FS,0,Seq within parent
2.1,2.1.1,FS,0,Parent to child
2.1,2.1.2,FS,0,Parent to child
2.1,2.1.3,FS,0,Parent to child
2.2,2.3,FS,0,Seq within parent
2.3,2.1,FS,0,Seq within parent
2,2.2,FS,0,Parent to child
2,2.3,FS,0,Parent to child
2,2.1,FS,0,Parent to child
2.2.1,2.2.2,FS,0,Seq within parent
2.2.2,2.2.3,FS,0,Seq within parent
2.2.3,2.2.4,FS,0,Seq within parent
2.2,2.2.1,FS,0,Parent to child
2.2,2.2.2,FS,0,Parent to child
2.2,2.2.3,FS,0,Parent to child
2.2,2.2.4,FS,0,Parent to child
2.3.1,2.3.2,FS,0,Seq within parent
2.3.2,2.3.3,FS,0,Seq within parent
2.3,2.3.1,FS,0,Parent to child
2.3,2.3.2,FS,0,Parent to child
2.3,2.3.3,FS,0,Parent to child
3.1.1,3.1.2,FS,0,Seq within parent
3.1,3.1.1,FS,0,Parent to child
3.1,3.1.2,FS,0,Parent to child
3.2,3.3,FS,0,Seq within parent
3.3,3.4,FS,0,Seq within parent
3.4,3.5,FS,0,Seq within parent
3.5,3.1,FS,0,Seq within parent
3,3.2,FS,0,Parent to child
3,3.3,FS,0,Parent to child
3,3.4,FS,0,Parent to child
3,3.5,FS,0,Parent to child
3,3.1,FS,0,Parent to child
3.2.1,3.2.2,FS,0,Seq within parent
3.2.2,3.2.3,FS,0,Seq within parent
3.2,3.2.1,FS,0,Parent to child
3.2,3.2.2,FS,0,Parent to child
3.2,3.2.3,FS,0,Parent to child
3.3.1,3.3.2,FS,0,Seq within parent
3.3.2,3.3.3,FS,0,Seq within parent
3.3.3,3.3.4,FS,0,Seq within parent
3.3,3.3.1,FS,0,Parent to child
3.3,3.3.2,FS,0,Parent to child
3.3,3.3.3,FS,0,Parent to child
3.3,3.3.4,FS,0,Parent to child
3.4.1,3.4.2,FS,0,Seq within parent
3.4.2,3.4.3,FS,0,Seq within parent
3.4.3,3.4.4,FS,0,Seq within parent
3.4.4,3.4.5,FS,0,Seq within parent
3.4,3.4.1,FS,0,Parent to child
3.4,3.4.2,FS,0,Parent to child
3.4,3.4.3,FS,0,Parent to child
3.4,3.4.4,FS,0,Parent to child
3.4,3.4.5,FS,0,Parent to child
4.1.1,4.1.2,FS,0,Seq within parent
4.1.2,4.1.3,FS,0,Seq within parent
4.1.3,4.1.4,FS,0,Seq within parent
4.1,4.1.1,FS,0,Parent to child
4.1,4.1.2,FS,0,Parent to child
4.1,4.1.3,FS,0,Parent to child
4.1,4.1.4,FS,0,Parent to child
4.2,4.3,FS,0,Seq within parent
4.3,4.4,FS,0,Seq within parent
4.4,4.1,FS,0,Seq within parent
4,4.2,FS,0,Parent to child
4,4.3,FS,0,Parent to child
4,4.4,FS,0,Parent to child
4,4.1,FS,0,Parent to child
4.2.1,4.2.2,FS,0,Seq within parent
4.2.2,4.2.3,FS,0,Seq within parent
4.2.3,4.2.4,FS,0,Seq within parent
4.2,4.2.1,FS,0,Parent to child
4.2,4.2.2,FS,0,Parent to child
4.2,4.2.3,FS,0,Parent to child
4.2,4.2.4,FS,0,Parent to child
4.3.1,4.3.2,FS,0,Seq within parent
4.3.2,4.3.3,FS,0,Seq within parent
4.3,4.3.1,FS,0,Parent to child
4.3,4.3.2,FS,0,Parent to child
4.3,4.3.3,FS,0,Parent to child
5.1.1,5.1.2,FS,0,Seq within parent
5.1,5.1.1,FS,0,Parent to child
5.1,5.1.2,FS,0,Parent to child
5.2,5.3,FS,0,Seq within parent
5.3,5.1,FS,0,Seq within parent
5,5.2,FS,0,Parent to child
5,5.3,FS,0,Parent to child
5,5.1,FS,0,Parent to child
5.2.1,5.2.2,FS,0,Seq within parent
5.2,5.2.1,FS,0,Parent to child
5.2,5.2.2,FS,0,Parent to child
6.2,6.3,FS,0,Seq within parent
6.3,6.4,FS,0,Seq within parent
6.4,6.5,FS,0,Seq within parent
6.5,6.1,FS,0,Seq within parent
6,6.2,FS,0,Parent to child
6,6.3,FS,0,Parent to child
6,6.4,FS,0,Parent to child
6,6.5,FS,0,Parent to child
6,6.1,FS,0,Parent to child
6.2.1,6.2.2,FS,0,Seq within parent
6.2,6.2.1,FS,0,Parent to child
6.2,6.2.2,FS,0,Parent to child
6.3.1,6.3.2,FS,0,Seq within parent
6.3.2,6.3.3,FS,0,Seq within parent
6.3,6.3.1,FS,0,Parent to child
6.3,6.3.2,FS,0,Parent to child
6.3,6.3.3,FS,0,Parent to child
6.4.1,6.4.2,FS,0,Seq within parent
6.4,6.4.1,FS,0,Parent to child
6.4,6.4.2,FS,0,Parent to child
7.1,7.2,FS,0,Seq within parent
7.2,7.3,FS,0,Seq within parent
7,7.1,FS,0,Parent to child
7,7.2,FS,0,Parent to child
7,7.3,FS,0,Parent to child
7.1.1,7.1.2,FS,0,Seq within parent
7.1.2,7.1.3,FS,0,Seq within parent
7.1,7.1.1,FS,0,Parent to child
7.1,7.1.2,FS,0,Parent to child
7.1,7.1.3,FS,0,Parent to child
7.2.1,7.2.2,FS,0,Seq within parent
7.2,7.2.1,FS,0,Parent to child
7.2,7.2.2,FS,0,Parent to child
8.1,8.2,FS,0,Seq within parent
8.2,8.3,FS,0,Seq within parent
8.3,8.4,FS,0,Seq within parent
8,8.1,FS,0,Parent to child
8,8.2,FS,0,Parent to child
8,8.3,FS,0,Parent to child
8,8.4,FS,0,Parent to child
8.1.1,8.1.2,FS,0,Seq within parent
8.1,8.1.1,FS,0,Parent to child
8.1,8.1.2,FS,0,Parent to child
8.2.1,8.2.2,FS,0,Seq within parent
8.2,8.2.1,FS,0,Parent to child
8.2,8.2.2,FS,0,Parent to child
8.3.1,8.3.2,FS,0,Seq within parent
8.3.2,8.3.3,FS,0,Seq within parent
8.3,8.3.1,FS,0,Parent to child
8.3,8.3.2,FS,0,Parent to child
8.3,8.3.3,FS,0,Parent to child
9.1,9.2,FS,0,Seq within parent
9.2,9.3,FS,0,Seq within parent
9.3,9.4,FS,0,Seq within parent
9,9.1,FS,0,Parent to child
9,9.2,FS,0,Parent to child
9,9.3,FS,0,Parent to child
9,9.4,FS,0,Parent to child
10.1,10.2,FS,0,Seq within parent
10.2,10.3,FS,0,Seq within parent
10.3,10.4,FS,0,Seq within parent
10,10.1,FS,0,Parent to child
10,10.2,FS,0,Parent to child
10,10.3,FS,0,Parent to child
10,10.4,FS,0,Parent to child
11.1,11.2,FS,0,Seq within parent
11.2,11.3,FS,0,Seq within parent
11.3,11.4,FS,0,Seq within parent
11,11.1,FS,0,Parent to child
11,11.2,FS,0,Parent to child
11,11.3,FS,0,Parent to child
11,11.4,FS,0,Parent to child
11.3.1,11.3.2,FS,0,Seq within parent
11.3,11.3.1,FS,0,Parent to child
11.3,11.3.2,FS,0,Parent to child
11.4.1,11.4.2,FS,0,Seq within parent
11.4.2,11.4.3,FS,0,Seq within parent
11.4,11.4.1,FS,0,Parent to child
11.4,11.4.2,FS,0,Parent to child
11.4,11.4.3,FS,0,Parent to child
