code,name,parent_code,wbs_level,sequence,duration_days,cost_labor,cost_material,planned_start,planned_end,actual_start,actual_end,status,percent_complete,is_milestone,description,notes
2.2.2,Footing Forms & Rebar,2.2,3,2,2,4000,5000,2025-03-04,2025-03-05,,,not_started,0,false,Install footing forms and reinforcement,
2.2.3,Footing Pour,2.2,3,3,1,2000,8000,2025-03-06,2025-03-06,,,not_started,0,true,Pour concrete footings,Milestone
2.2.4,Foundation Walls,2.2,3,4,4,5000,10000,2025-03-07,2025-03-12,,,not_started,0,false,Form and pour foundation walls,
2.2.5,Foundation Waterproofing,2.2,3,5,2,2000,4000,2025-03-13,2025-03-14,,,not_started,0,false,Apply waterproofing to foundation,
2.3,Underground Utilities,2,2,3,5,5000,7000,2025-03-17,2025-03-21,,,not_started,0,false,Install underground plumbing and electrical,
2.3.1,Underground Plumbing,2.3,3,1,3,3000,4000,2025-03-17,2025-03-19,,,not_started,0,false,Install sewer and water lines,
2.3.2,Underground Electrical,2.3,3,2,2,2000,3000,2025-03-20,2025-03-21,,,not_started,0,false,Install electrical conduits,
3,Structural Framing,,1,3,20,45000,60000,2025-03-24,2025-04-18,,,not_started,0,false,Wood framing and structural system,
3.1,Floor Framing,3,2,1,6,15000,20000,2025-03-24,2025-03-31,,,not_started,0,false,First floor framing,
3.1.1,Sill Plate Installation,3.1,3,1,1,3000,2000,2025-03-24,2025-03-24,,,not_started,0,false,Install sill plates on foundation,
3.1.2,Floor Joists & Beams,3.1,3,2,3,7000,12000,2025-03-25,2025-03-27,,,not_started,0,false,Install floor joists and beams,
3.1.3,Subfloor Sheathing,3.1,3,3,2,5000,6000,2025-03-28,2025-03-31,,,not_started,0,false,Install plywood subfloor,
3.2,Wall Framing,3,2,2,8,18000,25000,2025-04-01,2025-04-10,,,not_started,0,false,Exterior and interior wall framing,
3.2.1,Exterior Wall Framing,3.2,3,1,4,10000,15000,2025-04-01,2025-04-04,,,not_started,0,false,Frame exterior walls,
3.2.2,Interior Wall Framing,3.2,3,2,3,6000,8000,2025-04-07,2025-04-09,,,not_started,0,false,Frame interior partition walls,
3.2.3,Shear Walls & Bracing,3.2,3,3,1,2000,2000,2025-04-10,2025-04-10,,,not_started,0,false,Install structural shear walls,
3.3,Roof Framing,3,2,3,6,12000,15000,2025-04-11,2025-04-18,,,not_started,0,false,Roof structure and trusses,
3.3.1,Roof Trusses Installation,3.3,3,1,3,7000,10000,2025-04-11,2025-04-15,,,not_started,0,false,Set roof trusses,
3.3.2,Roof Sheathing,3.3,3,2,2,4000,4000,2025-04-16,2025-04-17,,,not_started,0,false,Install roof deck sheathing,
3.3.3,Roof Framing Complete,3.3,3,3,1,1000,1000,2025-04-18,2025-04-18,,,not_started,0,true,Roof framing milestone,Milestone
4,Roofing & Exterior Envelope,,1,4,18,32000,38000,2025-04-21,2025-05-14,,,not_started,0,false,Roofing and weather-tight exterior,
4.1,Roofing System,4,2,1,8,15000,18000,2025-04-21,2025-04-30,,,not_started,0,false,Complete roofing installation,
4.1.1,Roof Underlayment,4.1,3,1,2,3000,3000,2025-04-21,2025-04-22,,,not_started,0,false,Install underlayment and ice shield,
4.1.2,Roof Shingles,4.1,3,2,4,8000,12000,2025-04-23,2025-04-28,,,not_started,0,false,Install asphalt shingles,
4.1.3,Roof Flashing & Trim,4.1,3,3,2,4000,3000,2025-04-29,2025-04-30,,,not_started,0,false,Install flashing and trim details,
4.2,Exterior Sheathing & Wraps,4,2,2,5,8000,10000,2025-05-01,2025-05-07,,,not_started,0,false,Weather barrier and sheathing,
4.2.1,Wall Sheathing,4.2,3,1,3,5000,7000,2025-05-01,2025-05-05,,,not_started,0,false,Install wall sheathing panels,
4.2.2,House Wrap & Taping,4.2,3,2,2,3000,3000,2025-05-06,2025-05-07,,,not_started,0,false,Install weather barrier,
4.3,Exterior Doors & Windows,4,2,3,5,9000,10000,2025-05-08,2025-05-14,,,not_started,0,false,Install windows and exterior doors,
4.3.1,Window Installation,4.3,3,1,3,6000,7000,2025-05-08,2025-05-12,,,not_started,0,false,Install all windows,
4.3.2,Exterior Doors,4.3,3,2,2,3000,3000,2025-05-13,2025-05-14,,,not_started,0,false,Install entry and garage doors,
5,Rough MEP,,1,5,15,40000,35000,2025-05-15,2025-06-02,,,not_started,0,false,Rough-in mechanical electrical plumbing,
5.1,Rough Plumbing,5,2,1,5,12000,12000,2025-05-15,2025-05-21,,,not_started,0,false,Plumbing rough-in,
5.1.1,Waste & Vent Lines,5.1,3,1,3,7000,7000,2025-05-15,2025-05-19,,,not_started,0,false,Install drain waste vent system,
5.1.2,Water Supply Lines,5.1,3,2,2,5000,5000,2025-05-20,2025-05-21,,,not_started,0,false,Install hot and cold water lines,
5.2,Rough Electrical,5,2,2,5,13000,10000,2025-05-22,2025-05-28,,,not_started,0,false,Electrical rough-in,
5.2.1,Service Panel & Subpanels,5.2,3,1,2,4000,3000,2025-05-22,2025-05-23,,,not_started,0,false,Install electrical panels,
5.2.2,Branch Circuits & Wiring,5.2,3,2,3,9000,7000,2025-05-26,2025-05-28,,,not_started,0,false,Run electrical circuits,
5.3,HVAC Rough-In,5,2,3,5,15000,13000,2025-05-29,2025-06-02,,,not_started,0,false,HVAC system installation,
5.3.1,HVAC Equipment Set,5.3,3,1,2,6000,8000,2025-05-29,2025-05-30,,,not_started,0,false,Install furnace and air handler,
5.3.2,Ductwork Installation,5.3,3,2,3,9000,5000,2025-06-01,2025-06-02,,,not_started,0,false,Install supply and return ducts,
6,Insulation & Drywall,,1,6,12,28000,22000,2025-06-03,2025-06-18,,,not_started,0,false,Insulation and drywall installation,
6.1,Insulation,6,2,1,4,8000,8000,2025-06-03,2025-06-06,,,not_started,0,false,Thermal and acoustic insulation,
6.1.1,Wall Insulation,6.1,3,1,2,4000,4000,2025-06-03,2025-06-04,,,not_started,0,false,Install wall cavity insulation,
6.1.2,Ceiling Insulation,6.1,3,2,2,4000,4000,2025-06-05,2025-06-06,,,not_started,0,false,Install attic and ceiling insulation,
6.2,Drywall,6,2,2,8,20000,14000,2025-06-09,2025-06-18,,,not_started,0,false,Gypsum board installation and finishing,
6.2.1,Drywall Hanging,6.2,3,1,3,8000,6000,2025-06-09,2025-06-11,,,not_started,0,false,Hang drywall sheets,
6.2.2,Drywall Taping,6.2,3,2,2,5000,3000,2025-06-12,2025-06-13,,,not_started,0,false,Tape and apply joint compound,
6.2.3,Drywall Finishing,6.2,3,3,3,7000,5000,2025-06-16,2025-06-18,,,not_started,0,false,Sand and finish drywall surfaces,
7,Interior Finishes,,1,7,20,45000,40000,2025-06-19,2025-07-14,,,not_started,0,false,Interior trim flooring and finishes,
7.1,Interior Trim & Millwork,7,2,1,8,18000,15000,2025-06-19,2025-06-30,,,not_started,0,false,Install trim and millwork,
7.1.1,Baseboard & Casing,7.1,3,1,4,9000,8000,2025-06-19,2025-06-24,,,not_started,0,false,Install baseboards and door casings,
7.1.2,Crown Molding,7.1,3,2,2,4000,3000,2025-06-25,2025-06-26,,,not_started,0,false,Install crown molding,
7.1.3,Interior Doors,7.1,3,3,2,5000,4000,2025-06-27,2025-06-30,,,not_started,0,false,Hang interior doors,
7.2,Flooring,7,2,2,7,15000,18000,2025-07-01,2025-07-09,,,not_started,0,false,Install finish flooring,
7.2.1,Hardwood Flooring,7.2,3,1,4,9000,11000,2025-07-01,2025-07-04,,,not_started,0,false,Install hardwood floors,
7.2.2,Tile Flooring,7.2,3,2,3,6000,7000,2025-07-07,2025-07-09,,,not_started,0,false,Install tile in wet areas,
7.3,Painting,7,2,3,5,12000,7000,2025-07-10,2025-07-14,,,not_started,0,false,Interior painting,
7.3.1,Prime Surfaces,7.3,3,1,2,5000,3000,2025-07-10,2025-07-11,,,not_started,0,false,Prime walls and trim,
7.3.2,Finish Paint,7.3,3,2,3,7000,4000,2025-07-12,2025-07-14,,,not_started,0,false,Apply finish coats,
8,Final MEP & Fixtures,,1,8,10,25000,22000,2025-07-15,2025-07-28,,,not_started,0,false,Final MEP trim and fixtures,
8.1,Plumbing Fixtures,8,2,1,3,8000,8000,2025-07-15,2025-07-17,,,not_started,0,false,Install plumbing fixtures,
8.1.1,Kitchen & Bath Fixtures,8.1,3,1,2,5000,5000,2025-07-15,2025-07-16,,,not_started,0,false,Install sinks faucets toilets,
8.1.2,Water Heater,8.1,3,2,1,3000,3000,2025-07-17,2025-07-17,,,not_started,0,false,Install water heater,
8.2,Electrical Trim,8,2,2,4,10000,7000,2025-07-18,2025-07-23,,,not_started,0,false,Install electrical devices and fixtures,
8.2.1,Outlets & Switches,8.2,3,1,2,5000,3000,2025-07-18,2025-07-21,,,not_started,0,false,Install receptacles and switches,
8.2.2,Light Fixtures,8.2,3,2,2,5000,4000,2025-07-22,2025-07-23,,,not_started,0,false,Install light fixtures,
8.3,HVAC Final,8,2,3,3,7000,7000,2025-07-24,2025-07-28,,,not_started,0,false,HVAC system completion,
8.3.1,Registers & Grilles,8.3,3,1,1,2000,2000,2025-07-24,2025-07-24,,,not_started,0,false,Install air registers and grilles,
8.3.2,Thermostat & Controls,8.3,3,2,1,2000,2000,2025-07-25,2025-07-25,,,not_started,0,false,Install thermostats,
8.3.3,System Testing,8.3,3,3,1,3000,3000,2025-07-28,2025-07-28,,,not_started,0,false,Test and balance HVAC system,
9,Exterior Finishes & Site,,1,9,12,22000,28000,2025-07-29,2025-08-13,,,not_started,0,false,Exterior finishes and site work,
9.1,Exterior Siding,9,2,1,5,10000,12000,2025-07-29,2025-08-02,,,not_started,0,false,Install exterior siding,
9.1.1,Siding Installation,9.1,3,1,4,8000,10000,2025-07-29,2025-08-01,,,not_started,0,false,Install fiber cement siding,
9.1.2,Exterior Trim,9.1,3,2,1,2000,2000,2025-08-02,2025-08-02,,,not_started,0,false,Install corner boards and trim,
9.2,Exterior Painting,9,2,2,3,5000,4000,2025-08-05,2025-08-07,,,not_started,0,false,Paint exterior surfaces,
9.2.1,Prime & Paint,9.2,3,1,3,5000,4000,2025-08-05,2025-08-07,,,not_started,0,false,Prime and paint siding and trim,
9.3,Final Grading & Landscaping,9,2,3,4,7000,12000,2025-08-08,2025-08-13,,,not_started,0,false,Final site work,
9.3.1,Final Grading,9.3,3,1,2,3000,5000,2025-08-08,2025-08-09,,,not_started,0,false,Establish final grades,
9.3.2,Landscaping,9.3,3,2,2,4000,7000,2025-08-12,2025-08-13,,,not_started,0,false,Plant trees shrubs and seed lawn,
10,Final Inspections & Closeout,,1,10,8,12000,5000,2025-08-14,2025-08-23,,,not_started,0,false,Inspections warranty and closeout,
10.1,Final Inspections,10,2,1,3,5000,1000,2025-08-14,2025-08-18,,,not_started,0,false,Building inspections,
10.1.1,Building Final Inspection,10.1,3,1,1,2000,500,2025-08-14,2025-08-14,,,not_started,0,false,Final building inspection,
10.1.2,Mechanical Inspection,10.1,3,2,1,1500,250,2025-08-15,2025-08-15,,,not_started,0,false,HVAC final inspection,
10.1.3,Electrical Inspection,10.1,3,3,1,1500,250,2025-08-18,2025-08-18,,,not_started,0,false,Electrical final inspection,
10.2,Punch List & Cleanup,10,2,2,3,4000,2000,2025-08-19,2025-08-21,,,not_started,0,false,Address punch list items,
10.2.1,Punch List Walkthrough,10.2,3,1,1,1000,0,2025-08-19,2025-08-19,,,not_started,0,false,Document punch list items,
10.2.2,Punch List Completion,10.2,3,2,2,3000,2000,2025-08-20,2025-08-21,,,not_started,0,false,Complete all punch list work,
10.3,Project Closeout,10,2,3,2,3000,2000,2025-08-22,2025-08-23,,,not_started,0,false,Final documentation and handover,
10.3.1,Certificate of Occupancy,10.3,3,1,1,1000,1000,2025-08-22,2025-08-22,,,not_started,0,true,Obtain CO,Milestone
10.3.2,Owner Training & Manuals,10.3,3,2,1,2000,1000,2025-08-23,2025-08-23,,,not_started,0,false,Train owner and provide manuals,
