code,name,parent_code,wbs_level,sequence,duration_days,cost_labor,cost_material,planned_start,planned_end,actual_start,actual_end,status,percent_complete,is_milestone,description,notes
3.4,Slab-on-Grade,3,2,4,8.00,,,2025-06-06,2025-06-13,,,not_started,0.00,false,Slab on grade work,
3.4.1,Underslab Plumbing,3.4,3,1,2.00,,,2025-06-06,2025-06-07,,,not_started,0.00,false,Drain and water lines under slab,
3.4.2,Underslab Electrical / Conduit,3.4,3,2,2.00,,,2025-06-08,2025-06-09,,,not_started,0.00,false,Conduit and boxes under slab,
3.4.3,Vapor Barrier & Insulation,3.4,3,3,1.00,,,2025-06-10,2025-06-10,,,not_started,0.00,false,Install VB and underslab insulation,
3.4.4,Slab Reinforcement,3.4,3,4,1.00,,,2025-06-11,2025-06-11,,,not_started,0.00,false,Rebar or mesh for slab,
3.4.5,Slab Concrete Placement,3.4,3,5,2.00,,,2025-06-12,2025-06-13,,,not_started,0.00,false,Place and finish slab concrete,
3.5,Foundation Backfill,3,2,5,3.00,,,2025-06-14,2025-06-16,,,not_started,0.00,false,Backfill and compact adjacent to foundation,
3.6,Foundation Complete,3,1,6,0.00,,,2025-06-16,2025-06-16,,,not_started,0.00,true,Foundation Complete,Milestone
4,Structural Framing,,1,4,20.00,,,2025-07-07,2025-08-06,,,not_started,0.00,true,Primary structural framing,
4.1,Floor Framing,4,2,1,6.00,,,2025-07-07,2025-07-12,,,not_started,0.00,false,Floor framing,
4.1.1,Sill Plates & Anchors,4.1,3,1,1.00,,,2025-07-07,2025-07-07,,,not_started,0.00,false,Install sill plates on foundation,
4.1.2,Beams & Girders,4.1,3,2,2.00,,,2025-07-08,2025-07-09,,,not_started,0.00,false,"Install beams, girders, and posts",
4.1.3,Floor Joists,4.1,3,3,2.00,,,2025-07-10,2025-07-11,,,not_started,0.00,false,Install floor joists,
4.1.4,Subfloor Sheathing,4.1,3,4,1.00,,,2025-07-12,2025-07-12,,,not_started,0.00,false,Install subfloor sheathing,
4.2,Wall Framing,4,2,2,7.00,,,2025-07-19,2025-07-25,,,not_started,0.00,false,Wall framing,
4.2.1,Exterior Load-Bearing Walls,4.2,3,1,3.00,,,2025-07-19,2025-07-21,,,not_started,0.00,false,Frame exterior walls,
4.2.2,Interior Partitions,4.2,3,2,2.00,,,2025-07-22,2025-07-23,,,not_started,0.00,false,Frame interior walls,
4.2.3,Shear Walls & Bracing,4.2,3,3,1.00,,,2025-07-24,2025-07-24,,,not_started,0.00,false,Install braced wall panels,
4.2.4,Blocking & Nailing,4.2,3,4,1.00,,,2025-07-25,2025-07-25,,,not_started,0.00,false,Nail-off and blocking,
4.3,Roof Framing,4,2,3,5.00,,,2025-07-31,2025-08-04,,,not_started,0.00,false,Roof framing,
4.3.1,Rafters / Trusses,4.3,3,1,3.00,,,2025-07-31,2025-08-02,,,not_started,0.00,false,Install rafters or trusses,
4.3.2,Roof Sheathing,4.3,3,2,1.00,,,2025-08-03,2025-08-03,,,not_started,0.00,false,Install roof sheathing,
4.3.3,Overhangs & Fascia,4.3,3,3,1.00,,,2025-08-04,2025-08-04,,,not_started,0.00,false,Frame overhangs and fascia,
4.4,Framing Punch / Straightening,4,2,4,2.00,,,2025-08-05,2025-08-06,,,not_started,0.00,false,Straighten walls and correct issues,
4.5,Framing Complete,4,1,5,0.00,,,2025-08-06,2025-08-06,,,not_started,0.00,true,Framing Complete,Milestone
5,Roofing System,,1,5,9.00,,,2025-08-17,2025-08-29,,,not_started,0.00,true,Roof underlayment and covering,
5.1,Roof Dry-In,5,2,1,3.00,,,2025-08-17,2025-08-19,,,not_started,0.00,false,Underlayment and flashing,
5.1.1,Underlayment Installation,5.1,3,1,2.00,,,2025-08-17,2025-08-18,,,not_started,0.00,false,Install roof underlayment,
5.1.2,Valley / Wall Flashing,5.1,3,2,1.00,,,2025-08-19,2025-08-19,,,not_started,0.00,false,Install flashings,
5.2,Roof Covering,5,2,2,4.00,,,2025-08-24,2025-08-27,,,not_started,0.00,false,Final roof covering,
5.2.1,Shingles / Panels,5.2,3,1,3.00,,,2025-08-24,2025-08-26,,,not_started,0.00,false,Install shingles or metal panels,
5.2.2,Ridge & Vents,5.2,3,2,1.00,,,2025-08-27,2025-08-27,,,not_started,0.00,false,Install ridge cap and vents,
5.3,Gutters & Downspouts,5,2,3,2.00,,,2025-08-28,2025-08-29,,,not_started,0.00,false,Install gutters and downspouts,
5.4,Roof Dried-In,5,1,4,0.00,,,2025-08-29,2025-08-29,,,not_started,0.00,true,Roof Dried-In,Milestone
6,Building Envelope,,1,6,13.00,,,2025-09-09,2025-10-01,,,not_started,0.00,true,"Exterior sheathing, WRB, windows, doors",
6.1,Exterior Wall Sheathing,6,2,1,2.00,,,2025-09-09,2025-09-10,,,not_started,0.00,false,Install or complete wall sheathing,
6.2,Weather-Resistive Barrier,6,2,2,3.00,,,2025-09-14,2025-09-16,,,not_started,0.00,false,Housewrap and WRB,
6.2.1,Housewrap Installation,6.2,3,1,2.00,,,2025-09-14,2025-09-15,,,not_started,0.00,false,Wrap walls,
6.2.2,WRB Taping & Flashing,6.2,3,2,1.00,,,2025-09-16,2025-09-16,,,not_started,0.00,false,Tape seams and flash openings,
6.3,Window Installation,6,2,3,4.00,,,2025-09-21,2025-09-24,,,not_started,0.00,false,Install windows,
6.3.1,Rough Opening Prep,6.3,3,1,1.00,,,2025-09-21,2025-09-21,,,not_started,0.00,false,Prep openings,
6.3.2,Set Windows,6.3,3,2,2.00,,,2025-09-22,2025-09-23,,,not_started,0.00,false,Install windows,
6.3.3,Flashing & Sealant,6.3,3,3,1.00,,,2025-09-24,2025-09-24,,,not_started,0.00,false,Flash and seal windows,
6.4,Exterior Doors,6,2,4,3.00,,,2025-09-28,2025-09-30,,,not_started,0.00,false,Install exterior doors,
6.4.1,Entry Doors,6.4,3,1,2.00,,,2025-09-28,2025-09-29,,,not_started,0.00,false,Install main entrances,
6.4.2,Patio / Sliding Doors,6.4,3,2,1.00,,,2025-09-30,2025-09-30,,,not_started,0.00,false,Install patio/sliding doors,
6.5,Penetrations & Sealants,6,2,5,1.00,,,2025-10-01,2025-10-01,,,not_started,0.00,false,Seal penetrations and joints,
7,Exterior Finishes,,1,7,13.00,,,2025-10-21,2025-11-06,,,not_started,0.00,true,"Siding, trim, and paint",
7.1,Siding & Cladding,7,2,1,7.00,,,2025-10-21,2025-10-27,,,not_started,0.00,false,Install siding,
7.1.1,Starter & Trim,7.1,3,1,2.00,,,2025-10-21,2025-10-22,,,not_started,0.00,false,Install starter strips and trim,
7.1.2,Field Siding,7.1,3,2,4.00,,,2025-10-23,2025-10-26,,,not_started,0.00,false,Install siding field,
7.1.3,Caulking,7.1,3,3,1.00,,,2025-10-27,2025-10-27,,,not_started,0.00,false,Caulk joints and penetrations,
7.2,Exterior Painting / Stain,7,2,2,4.00,,,2025-11-01,2025-11-04,,,not_started,0.00,false,Prime and finish coat,
7.2.1,Prime Coat,7.2,3,1,2.00,,,2025-11-01,2025-11-02,,,not_started,0.00,false,Prime exterior surfaces,
7.2.2,Finish Coats,7.2,3,2,2.00,,,2025-11-03,2025-11-04,,,not_started,0.00,false,Finish coats,
7.3,Soffits & Fascia Finish,7,2,3,2.00,,,2025-11-05,2025-11-06,,,not_started,0.00,false,Finish soffits and fascia,
8,Rough MEP,,1,8,18.00,,,2025-11-26,2025-12-24,,,not_started,0.00,true,"Rough plumbing, electrical, HVAC",
8.1,Rough Plumbing,8,2,1,5.00,,,2025-11-26,2025-11-30,,,not_started,0.00,false,Plumbing rough-in,
8.1.1,Water Supply Rough-In,8.1,3,1,2.00,,,2025-11-26,2025-11-27,,,not_started,0.00,false,Domestic water lines,
8.1.2,Waste & Vent Rough-In,8.1,3,2,3.00,,,2025-11-28,2025-11-30,,,not_started,0.00,false,"Drain, waste, and vent",
8.2,Rough HVAC,8,2,2,5.00,,,2025-12-06,2025-12-10,,,not_started,0.00,false,Ducts and HVAC rough,
8.2.1,Ductwork Installation,8.2,3,1,3.00,,,2025-12-06,2025-12-08,,,not_started,0.00,false,Install ducts,
8.2.2,Refrigerant Lines & Condensate,8.2,3,2,2.00,,,2025-12-09,2025-12-10,,,not_started,0.00,false,Run line sets and condensate,
8.3,Rough Electrical,8,2,3,6.00,,,2025-12-17,2025-12-22,,,not_started,0.00,false,Electrical rough-in,
8.3.1,Main Service Rough-In,8.3,3,1,2.00,,,2025-12-17,2025-12-18,,,not_started,0.00,false,Service and panel rough,
8.3.2,Branch Circuit Rough-In,8.3,3,2,3.00,,,2025-12-19,2025-12-21,,,not_started,0.00,false,Branch wiring and boxes,
8.3.3,Low Voltage Rough-In,8.3,3,3,1.00,,,2025-12-22,2025-12-22,,,not_started,0.00,false,"Data, security, and AV rough",
8.4,Rough-In Inspections,8,2,4,2.00,,,2025-12-23,2025-12-24,,,not_started,0.00,false,"Plumbing, mechanical, and electrical inspections",
8.5,Rough MEP Complete,8,1,5,0.00,,,2025-12-24,2025-12-24,,,not_started,0.00,true,Rough MEP Complete,Milestone
9,Insulation & Air Sealing,,1,9,9.00,,,2026-01-01,2026-01-09,,,not_started,0.00,true,Insulate and seal the building,
9.1,Air Sealing,9,2,1,2.00,,,2026-01-01,2026-01-02,,,not_started,0.00,false,Seal penetrations and joints,
9.2,Wall Insulation,9,2,2,3.00,,,2026-01-03,2026-01-05,,,not_started,0.00,false,Install cavity insulation in walls,
9.3,Ceiling / Roof Insulation,9,2,3,2.00,,,2026-01-06,2026-01-07,,,not_started,0.00,false,Install attic or roof insulation,
9.4,Sound Insulation,9,2,4,2.00,,,2026-01-08,2026-01-09,,,not_started,0.00,false,Sound batts in key partitions,
9.5,Insulation Complete,9,1,5,0.00,,,2026-01-09,2026-01-09,,,not_started,0.00,true,Insulation Complete,Milestone
10,Drywall & Interior Partitions,,1,10,10.00,,,2026-01-20,2026-01-29,,,not_started,0.00,true,Drywall hanging and finishing,
10.1,Interior Framing Adjustments,10,2,1,2.00,,,2026-01-20,2026-01-21,,,not_started,0.00,false,Final framing tweaks,
10.2,Drywall Hanging,10,2,2,4.00,,,2026-01-22,2026-01-25,,,not_started,0.00,false,Hang gypsum board,
10.3,Taping & Finishing,10,2,3,3.00,,,2026-01-26,2026-01-28,,,not_started,0.00,false,"Tape, mud, and sand",
10.4,Texture / Level 5 (if any),10,2,4,1.00,,,2026-01-29,2026-01-29,,,not_started,0.00,false,Final surface prep,
10.5,Drywall Complete,10,1,5,0.00,,,2026-01-29,2026-01-29,,,not_started,0.00,true,Drywall Complete,Milestone
11,Interior Finishes,,1,11,25.00,,,2026-02-17,2026-03-23,,,not_started,0.00,true,"Interior trim, paint, and finishes",
11.1,Interior Doors & Hardware,11,2,1,3.00,,,2026-02-17,2026-02-19,,,not_started,0.00,false,Hang doors and hardware,
11.2,Trim & Millwork,11,2,2,5.00,,,2026-02-20,2026-02-24,,,not_started,0.00,false,"Base, casing, and trim",
11.3,Cabinets & Countertops,11,2,3,5.00,,,2026-03-02,2026-03-06,,,not_started,0.00,false,Install cabinets and counters,
11.3.1,Kitchen Cabinets,11.3,3,1,3.00,,,2026-03-02,2026-03-04,,,not_started,0.00,false,Install kitchen cabinets,
11.3.2,Bath & Laundry Cabinets,11.3,3,2,2.00,,,2026-03-05,2026-03-06,,,not_started,0.00,false,Install bath and laundry cabinets,
11.4,Flooring,11,2,4,5.00,,,2026-03-12,2026-03-16,,,not_started,0.00,false,Finish flooring,
11.4.1,Tile Flooring,11.4,3,1,2.00,,,2026-03-12,2026-03-13,,,not_started,0.00,false,Tile in baths and entries,
11.4.2,Wood / Laminate Flooring,11.4,3,2,2.00,,,2026-03-14,2026-03-15,,,not_started,0.00,false,Wood or laminate in living areas,
11.4.3,Carpet,11.4,3,3,1.00,,,2026-03-16,2026-03-16,,,not_started,0.00,false,Carpet where specified,
11.5,Interior Painting,11,2,5,5.00,,,2026-03-17,2026-03-21,,,not_started,0.00,false,"Prime and paint walls, ceilings, trim",
11.6,Closet Shelving & Accessories,11,2,6,2.00,,,2026-03-22,2026-03-23,,,not_started,0.00,false,"Install rods, shelves, and accessories",
12,Finish MEP & Appliances,,1,12,10.00,,,2026-04-03,2026-04-12,,,not_started,0.00,true,Fixture trims and appliances,
12.1,Plumbing Fixture Set,12,2,1,3.00,,,2026-04-03,2026-04-05,,,not_started,0.00,false,"Install toilets, lavs, faucets",
12.2,Electrical Devices & Fixtures,12,2,2,4.00,,,2026-04-06,2026-04-09,,,not_started,0.00,false,"Install switches, outlets, lights",
12.3,HVAC Trim & Balancing,12,2,3,2.00,,,2026-04-10,2026-04-11,,,not_started,0.00,false,"Registers, grilles, thermostat and balancing",
12.4,Appliance Installation,12,2,4,1.00,,,2026-04-12,2026-04-12,,,not_started,0.00,false,Install kitchen and laundry appliances,
13,Exterior Improvements,,1,13,14.00,,,2026-04-25,2026-05-08,,,not_started,0.00,true,"Hardscape, landscape, and site finishes",
13.1,Flatwork (Drives & Walks),13,2,1,4.00,,,2026-04-25,2026-04-28,,,not_started,0.00,false,"Driveways, walks, and patios",
13.2,Decks & Porches,13,2,2,4.00,,,2026-04-29,2026-05-02,,,not_started,0.00,false,Exterior decks and porches,
13.3,Landscaping & Irrigation,13,2,3,3.00,,,2026-05-03,2026-05-05,,,not_started,0.00,false,"Planting, soil, and irrigation",
13.4,Fencing & Gates,13,2,4,3.00,,,2026-05-06,2026-05-08,,,not_started,0.00,false,Perimeter fences and gates,
14,"Testing, Inspections & Commissioning",,1,14,7.00,,,2026-05-16,2026-05-22,,,not_started,0.00,true,Final inspections and commissioning,
14.1,Building Final Inspection,14,2,1,2.00,,,2026-05-16,2026-05-17,,,not_started,0.00,false,Final building inspection,
14.2,MEP Final Inspections,14,2,2,2.00,,,2026-05-18,2026-05-19,,,not_started,0.00,false,"Final plumbing, electrical, HVAC inspections",
14.3,Systems Testing & Commissioning,14,2,3,2.00,,,2026-05-20,2026-05-21,,,not_started,0.00,false,Test and commission systems,
14.4,Occupancy Certification,14,2,4,1.00,,,2026-05-22,2026-05-22,,,not_started,0.00,false,Obtain CO or equivalent,
14.5,TCO,14,1,5,0.00,,,2026-05-22,2026-05-22,,,not_started,0.00,true,TCO,Milestone
15,Punch List & Closeout,,1,15,7.00,,,2026-05-30,2026-06-05,,,not_started,0.00,true,Final punch list and turnover,
15.1,Owner Punch List Walkthrough,15,2,1,2.00,,,2026-05-30,2026-05-31,,,not_started,0.00,false,Walk with owner and record items,
15.2,Punch List Corrective Work,15,2,2,3.00,,,2026-06-01,2026-06-03,,,not_started,0.00,false,Address punch list items,
15.3,Final Cleaning,15,2,3,1.00,,,2026-06-04,2026-06-04,,,not_started,0.00,false,Final detailed cleaning,
15.4,Turnover & Documentation,15,2,4,1.00,,,2026-06-05,2026-06-05,,,not_started,0.00,false,"Provide manuals, keys, and turnover docs",
15.5,Final CO,15,1,5,0.00,,,2026-06-05,2026-06-05,,,not_started,0.00,true,Final CO,Milestone
